,Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
3150,2009-0658-JPN,2009,658,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,All country,,,,,,,,,°C,,,,,2009,7.0,,2009,7.0,,16.0,,,,,,,,,,,73.3071767219387,1,1651;1652;1653;1654;1655;1656;1657;1658;1659;1660;1661;1662;1663;1664;1665;1666;1667;1668;1669;1670;1671;1672;1673;1674;1675;1676;1677;1678;1679;1680;1681;1682;1683;1684;1685;1686;1687;1688;1689;1690;1691;1692;1693;1694;1695;1696;1697,,"Aiti, Akita, Aomori, Ehime, Gifu, Gunma, Hirosima, Hokkaidoo, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Iwate, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi (Adm1). "
3293,2010-0331-JPN,2010,331,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",,,,,,,,35.0,°C,,,,,2010,7.0,19.0,2010,7.0,25.0,170.0,,15000.0,,15000.0,,,,,,,74.5094440781961,1,1651;1654;1655;1656;1657;1658;1659;1660;1662;1663;1664;1666;1667;1668;1669;1670;1671;1672;1673;1674;1675;1676;1677;1678;1679;1680;1681;1682;1683;1684;1685;1686;1687;1688;1689;1690;1691;1692;1693;1694;1695;1696;1697,,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi (Adm1). "
3523,2011-0264-USA,2011,264,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United States of America (the),USA,Northern America,Americas,"New York, Washington, Texas, Ohio, Maine, Iowa, Illinois, Minnesota, Nebraska, Wisconsin, South Dakota provinces",,,,,,,,50.0,°C,,,,,2011,7.0,19.0,2011,7.0,22.0,22.0,,,,,,,,,,,76.8615953778198,1,3227;3229;3233;3237;3241;3246;3249;3255;3257;3261;3263,,"Illinois, Iowa, Maine, Minnesota, Nebraska, New York, Ohio, South Dakota, Texas, Washington, Wisconsin (Adm1). "
3911,2013-0582-CHN,2013,582,,Natural,Meteorological,Extreme temperature ,Heat wave,,,China,CHN,Eastern Asia,Asia,Shanghai Shi province,,,,,,,,,°C,,,,,2013,7.0,1.0,2013,8.0,15.0,40.0,,,,,,,,,,,79.6013094233451,1,922,,Shanghai Shi (Adm1). 
3935,2013-0549-GBR,2013,549,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"England, Wales provinces",,,,,,,,40.0,°C,,,,,2013,7.0,,2013,7.0,,760.0,,,,,,,,,,,79.6013094233451,1,3182;3186,,"England, Wales (Adm1). "
3972,2014-0010-AUS,2014,10,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Australia,AUS,Australia and New Zealand,Oceania,"Western Australia, Victoria provinces",,,,,,,,52.0,°C,,,,,2014,1.0,13.0,2014,1.0,18.0,139.0,,,,,,,,,,,80.8926237222027,1,476;477,,"Victoria, Western Australia (Adm1). "
4020,2011-0573-JPN,2011,573,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",,,,,,,,35.0,°C,,,,,2011,7.0,,2011,8.0,,36.0,22000.0,,,22000.0,,,,,,,76.8615953778198,1,1651;1654;1655;1656;1657;1658;1659;1660;1662;1663;1664;1666;1667;1668;1669;1670;1671;1672;1673;1674;1675;1676;1677;1678;1679;1680;1681;1682;1683;1684;1685;1686;1687;1688;1689;1690;1691;1692;1693;1694;1695;1696;1697,,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi (Adm1). "
4280,2013-0208-IND,2013,208,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,"Adilabad, East Godavari, Guntur, Karimnagar, Khammam, Krishna, Nalgonda, Nizamabad, Prakasam, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",,,,,,,,46.0,°C,,,,,2013,4.0,1.0,2013,5.0,30.0,557.0,,,,,,,,,,,79.6013094233451,2,,17547;17551;17552;17554;17555;17556;17560;17562;17563;17566;17568;17569,"Adilabad, East Godavari, Guntur, Karimnagar, Khammam, Krishna, Nalgonda, Nizamabad, Prakasam, Vishakhapatnam, Warangal, West Godavari (Adm2). "
4294,2013-0316-JPN,2013,316,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,"Ehime, Kagawa, Kooti, Tokusima provinces (Shikoko Isl.), Hukuoka, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga provinces (Kyushu Isl.), Oosaka, Kyooto provinces (Honshu Isl.), Kobe city (Hyoogo province) (Honshu Isl.)",,,,,,,,41.0,°C,,,,,2013,5.0,,2013,9.0,,338.0,54000.0,,,54000.0,,,,,,,79.6013094233451,1,1654;1656;1662;1666;1667;1669;1670;1671;1674;1676;1679;1682;1683;1689,,"Ehime, Hukuoka, Hyoogo, Kagawa, Kagosima, Kooti, Kumamoto, Kyooto, Miyazaki, Nagasaki, Ooita, Oosaka, Saga, Tokusima (Adm1). "
4436,2012-0214-USA,2012,214,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United States of America (the),USA,Northern America,Americas,"District of Columbia, Iowa, Virginia, North Carolina provinces",,,,,,,,40.0,°C,,,,,2012,6.0,30.0,2012,7.0,19.0,123.0,,,,,,,,,,,78.4521138829003,1,3222;3229;3247;3260,,"District of Columbia, Iowa, North Carolina, Virginia (Adm1). "
4691,2015-0410-BEL,2015,410,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Belgium,BEL,Western Europe,Europe,"Vlaams Gewest, Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne provinces",,,,,,,,,°C,,,,,2015,6.0,30.0,2015,7.0,5.0,410.0,,,,,,,,,,,80.9885789905908,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). "
4753,2015-0410-FRA,2015,410,,Natural,Meteorological,Extreme temperature ,Heat wave,,,France,FRA,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,,,,,,,40.0,°C,,,,,2015,6.0,29.0,2015,8.0,9.0,3275.0,,,,,,,,,,,80.9885789905908,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). "
4882,2014-0546-PAK,2014,546,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Pakistan,PAK,Southern Asia,Asia,"Mithi, Chachro, Dahli, Diplo, Islamkot, Nagarparkar regions (Tharparkar district, Sindh province)",,Drought,,,,,,,°C,,,,,2014,1.0,,2014,4.0,30.0,139.0,,,,,,,,,18000.0,22252.0,80.8926237222027,2,,40405,Tharparkar District (Adm2). 
4920,2014-0578-JPN,2014,578,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",,,,,,,,39.0,°C,,,,,2014,7.0,14.0,2014,7.0,29.0,27.0,17000.0,,,17000.0,,,,,,,80.8926237222027,1,1651;1654;1655;1656;1657;1658;1659;1660;1662;1663;1664;1666;1667;1668;1669;1670;1671;1672;1673;1674;1675;1676;1677;1678;1679;1680;1681;1682;1683;1684;1685;1686;1687;1688;1689;1690;1691;1692;1693;1694;1695;1696;1697,,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi (Adm1). "
5075,2015-0189-IND,2015,189,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,"Delhi, Andhra Pradesh, Orissa provinces",,,,,,,,48.0,°C,,,,,2015,5.0,20.0,2015,5.0,31.0,2248.0,,,,,,,,,,,80.9885789905908,1,1485;1489;1504,,"Andhra Pradesh, Delhi, Orissa (Adm1). "
5092,2015-0575-JPN,2015,575,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,"Oosaka province, Tokyo, Saitama",,,,,,,,,°C,,,,,2015,8.0,3.0,2015,8.0,9.0,32.0,11187.0,,,11187.0,,,,,,,80.9885789905908,1,1682;1684;1690,,"Oosaka, Saitama, Tookyoo (Adm1). "
5093,2015-0610-JPN,2015,610,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,Entire country,,,,,,,,,°C,,,,,2015,5.0,11.0,2015,5.0,,2.0,480.0,,,480.0,,,,,,,80.9885789905908,1,1651;1652;1653;1654;1655;1656;1657;1658;1659;1660;1661;1662;1663;1664;1665;1666;1667;1668;1669;1670;1671;1672;1673;1674;1675;1676;1677;1678;1679;1680;1681;1682;1683;1684;1685;1686;1687;1688;1689;1690;1691;1692;1693;1694;1695;1696;1697,,"Aiti, Akita, Aomori, Ehime, Gifu, Gunma, Hirosima, Hokkaidoo, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Iwate, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi (Adm1). "
5094,2015-0611-JPN,2015,611,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,"Funabashi (Chiba Prefecture), Isesaki City, Tatebayashi (Gunma Prefecture), Tokyo, Iwate, Yagamata",,,,,,,,,°C,,,,,2015,7.0,12.0,2015,7.0,15.0,5.0,3200.0,,,3200.0,,,,,,,80.9885789905908,1,1659;1665;1690;1693;1695,,"Gunma, Iwate, Tiba, Tookyoo, Yamagata (Adm1). "
5131,2015-0232-PAK,2015,232,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Pakistan,PAK,Southern Asia,Asia,"Sindh, Punjab provinces",,,,,,Yes,,45.0,°C,,,,,2015,6.0,18.0,2015,6.0,24.0,1229.0,,80000.0,,80000.0,,,,,,,80.9885789905908,1,2276;2277,,"Punjab, Sindh (Adm1). "
5215,2016-0133-IND,2016,133,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,"Andhra Pradesh, Rajasthan, Orissa, Bihar, Jharkhand, Tamil Nadu, Uttar Pradesh provinces",,,,,,,,51.0,°C,,,,,2016,4.0,1.0,2016,5.0,20.0,300.0,,,,,,,,,,,82.010330903136,1,1485;1504;1506;1508;70073;70078;70081,,"Andhra Pradesh, Bihar, Jharkhand, Orissa, Rajasthan, Tamil Nadu, Uttar Pradesh (Adm1). "
5658,2018-0235-ESP,2018,235,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Spain,ESP,Southern Europe,Europe,,,,,,,,,47.0,°C,,,,,2018,8.0,,2018,8.0,,9.0,,,,,,,,,,,85.8030260572654,,,,
5709,2019-0296-BEL,2019,296,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Belgium,BEL,Western Europe,Europe,,,,,,,,,35.0,°C,,,,,2019,6.0,21.0,2020,7.0,1.0,128.0,,,,,,,,,,,87.3580067738847,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). "
5733,2019-0296-DEU,2019,296,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Germany,DEU,Western Europe,Europe,,,,,,,,,39.0,°C,,,,,2019,6.0,24.0,2019,6.0,30.0,4.0,,,,,,,,,,,87.3580067738847,1,1308,,Baden-Wuerttemberg (Adm1). 
5736,2019-0296-ESP,2019,296,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Spain,ESP,Southern Europe,Europe,"Cordoba, Valladolid",,,,,,,,,°C,,,,,2019,6.0,26.0,2019,6.0,30.0,2.0,,,,,,,,,,,87.3580067738847,2,,25778;25799,"C??rdoba, Valladolid (Adm2). "
5737,2019-0296-FRA,2019,296,,Natural,Meteorological,Extreme temperature ,Heat wave,,,France,FRA,Western Europe,Europe,"Vaucluse, Bouches-du-Rhône, Hérault, Gard",,,,,,,,46.0,°C,,,,,2019,6.0,24.0,2019,7.0,7.0,567.0,,,,,,,,,,,87.3580067738847,2,,16287,Herault (Adm2). 
5739,2019-0296-GBR,2019,296,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"Cornwall, Manchester",,,,,,,,,°C,,,,,2019,6.0,26.0,2019,6.0,30.0,5.0,,,,,,,,,,,87.3580067738847,2,,40101;40111,"Cornwall, Greater Manchest (Adm2). "
5788,2016-0538-JPN,2016,538,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,"Yamanashi, Kawanehoncho,Shizuoka",,,,,,,,,°C,,,,,2016,8.0,6.0,2016,8.0,8.0,3.0,490.0,,,490.0,,,,,,,82.010330903136,1,1687;1697,,"Sizuoka, Yamanasi (Adm1). "
5905,2017-0144-IND,2017,144,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,"Andhra Pradesh, Telangana, Maharashtra, Odisha (Orissa)",,,,,,,,48.0,°C,,,,,2017,4.0,12.0,2017,6.0,15.0,264.0,,,,,,,,,,,83.7572545519631,1,1485;1498;1504,,"Andhra Pradesh, Maharashtra, Orissa (Adm1). "
6071,2018-0226-JPN,2018,226,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,Kumagaya (Saitama Prefecture),,,,,,,,41.0,°C,,,,,2018,7.0,1.0,2018,7.0,15.0,119.0,49000.0,,,49000.0,,,,,,,85.8030260572654,2,,35947,Kumagayasi (Adm2). 
6113,2018-0143-PAK,2018,143,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Pakistan,PAK,Southern Asia,Asia,Karachi,,,,,,,,42.0,°C,,,,,2018,5.0,18.0,2018,5.0,22.0,180.0,,,,,,,,,,,85.8030260572654,2,,40392;40393;40394;40395,"Karachi Central District, Karachi East District, Karachi South District, Karachi West District (Adm2). "
6177,2019-0217-IND,2019,217,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,"Patna, Gaya, Bhagalpur cities; Aurangabad, Nawada districts (Bihar)",,,,,,,,42.0,°C,,,,,2019,6.0,,2019,6.0,,90.0,,,,,,,,,,,87.3580067738847,2,,17596;17601;17616;17619;17786,"Aurangabad, Bhagalpur, Gaya, Nawada, Patna (Adm2). "
6178,2019-0223-IND,2019,223,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,"Karnataka, Maharashtra, Madhya Pradesh, Rajasthan, Uttar Pradesh states",,,,,,,,,°C,,,,,2019,6.0,,2019,6.0,,22.0,450.0,,,450.0,,,,,,,87.3580067738847,1,1494;1498;1506;70079;70081,,"Karnataka, Madhya Pradesh, Maharashtra, Rajasthan, Uttar Pradesh (Adm1). "
6182,2019-0296-ITA,2019,296,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Italy,ITA,Southern Europe,Europe,"Marche Region, Veneto Region, Milan",,,,,,,,,°C,,,,,2019,6.0,26.0,2019,6.0,30.0,3.0,,,,,,,,,,,87.3580067738847,1;2,1625;1635,18363,"Marche, Veneto (Adm1). Milano (Adm2). "
6488,2019-0366-AUT,2019,366,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Austria,AUT,Western Europe,Europe,,,,,,,,,,°C,,,,,2019,7.0,24.0,2019,7.0,26.0,1.0,,,,,,,,,,,87.3580067738847,,,,
6490,2019-0366-BEL,2019,366,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Belgium,BEL,Western Europe,Europe,,,,,,,,,41.0,°C,,,39.7,,2019,7.0,19.0,2019,7.0,27.0,400.0,,,,,,,,,,,87.3580067738847,,,,
6491,2019-0650-BEL,2019,650,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Belgium,BEL,Western Europe,Europe,,,,,,,,,35.0,°C,,,,,2019,8.0,23.0,2019,8.0,29.0,188.0,,,,,,,,,,,87.3580067738847,,,,
6565,2020-0530-BEL,2020,530,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Belgium,BEL,Western Europe,Europe,,,,,,,,,,°C,,,,,2020,8.0,5.0,2020,8.0,8.0,1687.0,,,,,,,,,,,88.4356408059336,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). "
6776,2019-0366-FRA,2019,366,,Natural,Meteorological,Extreme temperature ,Heat wave,,,France,FRA,Western Europe,Europe,Toute la France métropolitaine (excepté l'ouest de la Bretagne et la Corse),,,,,,,,44.0,°C,,,,,2019,7.0,21.0,2019,7.0,27.0,868.0,,,,,,,,,,,87.3580067738847,,,,
6778,2019-0650-GBR,2019,650,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,,39.0,°C,,,,,2019,7.0,21.0,2019,8.0,28.0,161.0,,,,,,,,,,,87.3580067738847,,,,
6798,2019-0463-JPN,2019,463,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,30.0,°C,,,,,2019,7.0,29.0,2019,8.0,8.0,162.0,18347.0,,,18347.0,,,,,,,87.3580067738847,,,,
6799,2019-0467-JPN,2019,467,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,,,,,,,,,,°C,,,,,2019,7.0,22.0,2019,7.0,30.0,11.0,5600.0,,,5600.0,,,,,,,87.3580067738847,,,,
6827,2019-0366-NLD,2019,366,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Netherlands (the),NLD,Western Europe,Europe,,,,,,,,,40.0,°C,,,,,2019,7.0,22.0,2019,7.0,27.0,400.0,,,,,,,,,,,87.3580067738847,,,,
6916,2020-0530-FRA,2020,530,,Natural,Meteorological,Extreme temperature ,Heat wave,,,France,FRA,Western Europe,Europe,,,,,,,,,,°C,,,,,2020,7.0,30.0,2020,8.0,16.0,1924.0,,,,,,,,,,,88.4356408059336,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). "
6920,2020-0530-GBR,2020,530,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,,,°C,,,,,2020,6.0,,2020,8.0,,2556.0,,,,,,,,,,,88.4356408059336,1,3182;3183;3184;3186,,"England, Northern Ireland, Scotland, Wales (Adm1). "
7012,2020-0530-NLD,2020,530,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Netherlands (the),NLD,Western Europe,Europe,,,,,,,,,,°C,,,,,2020,8.0,5.0,2020,8.0,16.0,400.0,,,,,,,,,,,88.4356408059336,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1). "
7606,2021-0390-USA,2021,390,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United States of America (the),USA,Northern America,Americas,"Oregon, Washington, Northern California, Idaho, Western Nevada",,,,,,,,47.0,°C,,,,,2021,6.0,26.0,2021,6.0,30.0,229.0,,,,,,,,,,,92.5901929309929,1,3218;3226;3242;3251;3261,,"California, Idaho, Nevada, Oregon, Washington (Adm1). "
7735,2022-0465-DEU,2022,465,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Germany,DEU,Western Europe,Europe,,,,,,,,,40.0,°C,,,,,2022,5.0,30.0,2022,9.0,4.0,8173.0,,,,,,,,,,,100.0,,,,
7900,2022-0465-ESP,2022,465,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Spain,ESP,Southern Europe,Europe,,,,,,,,,43.0,°C,,,,,2022,5.0,30.0,2022,9.0,4.0,11324.0,,,,,,,,,,,100.0,,,,
7907,2022-0465-FRA,2022,465,,Natural,Meteorological,Extreme temperature ,Heat wave,,,France,FRA,Western Europe,Europe,,,,,,,,,42.0,°C,,,,,2022,5.0,30.0,2022,9.0,4.0,4807.0,20000.0,,,20000.0,,,,,,,100.0,,,,
7909,2022-0465-GBR,2022,465,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,,40.0,°C,,,,,2022,5.0,30.0,2022,9.0,4.0,3469.0,,,,,,,,,,,100.0,,,,
7928,2022-0248-IND,2022,248,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,"Maharashtra State, West Rajasthan",,,,,,,,45.0,°C,,,,,2022,3.0,,2022,4.0,,25.0,,,,,,,,,,,100.0,,,,
7939,2022-0423-JPN,2022,423,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Japan,JPN,Eastern Asia,Asia,"Gunma, Tochigi, Yamanashi, Aichi, Tokyo",,,,,,,,37.0,°C,,,,,2022,6.0,20.0,2022,7.0,1.0,80.0,14300.0,,,14300.0,,,,,,,100.0,1,1659,,Gunma (Adm1). 
7990,2022-0465-PRT,2022,465,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Portugal,PRT,Southern Europe,Europe,,,,,,,,,47.0,°C,,,,,2022,5.0,30.0,2022,9.0,4.0,2212.0,,,,,,,,,,,100.0,,,,
8097,2023-0364-USA,2023,364,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United States of America (the),USA,Northern America,Americas,"Texas, Louisiana, Florida, Arizona, New Mexico, Kansas, Oklahoma, and southern California",,Pollution,,,,,,57.0,°C,,,,,2023,6.0,,2023,7.0,,14.0,,,,,,,,,,,,1,3216;3218;3223;3230;3232;3245;3250;3257,,"Arizona, California, Florida, Kansas, Louisiana, New Mexico, Oklahoma, Texas (Adm1). "
8130,2023-0234-IND,2023,234,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,Maharashtra state,,,,,,,,38.0,°C,,,,,2023,4.0,,2023,4.0,,11.0,330.0,,,330.0,,,,,,,,,,,
8131,2023-0328-IND,2023,328,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,Uttar Pradesh and Bihar ,,,,,,,,45.0,°C,,,,,2023,6.0,15.0,2023,6.0,23.0,98.0,,,,,,,,,,,,,,,
